period,CCALX,DFSTX,FSMDX,FSSNX,FTIHX,FXAIX,FXNAX,JVMRX,OTCKX,PHIYX,PTRQX,RERGX,RFDTX,RFETX,RFFTX,RFGTX,RFHTX,RFITX,RFJTX,RFKTX,RFTTX,RFUTX,RLLGX,RRCTX,UGLSX,VEIRX
2015-12-01,29.660491943359375,20.044498443603516,13.173229217529297,12.310129165649414,,61.71500778198242,9.59322452545166,12.333393096923828,11.399627685546875,5.52061653137207,10.428924560546875,33.16423034667969,8.186369895935059,8.432307243347168,8.432792663574219,8.558722496032715,8.704473495483398,8.504992485046387,7.328310966491699,10.833357810974121,6.912825584411621,7.592470645904541,31.601478576660156,7.874123573303223,25.523088455200195,39.0137939453125
2016-01-01,26.98815155029297,19.81776237487793,12.745503425598145,11.539307594299316,,59.15980529785156,9.728862762451172,12.042624473571777,11.018499374389648,5.625245571136475,10.571157455444336,32.22580337524414,8.443405151367188,8.563824653625488,8.515393257141113,8.58528995513916,8.689132690429688,8.496391296386719,7.646987438201904,10.7345609664917,7.16487979888916,7.276669979095459,30.562793731689453,8.051497459411621,25.47964859008789,39.42633819580078
2016-02-01,26.69858169555664,20.026681900024414,12.887494087219238,11.539307594299316,,59.0817985534668,9.808613777160645,12.049493789672852,10.882467269897461,5.650295734405518,10.609490394592285,31.2871150970459,8.420888900756836,8.526910781860352,8.471235275268555,8.534099578857422,8.637720108032227,8.444940567016602,7.654491424560547,10.67475700378418,7.172312259674072,7.23746395111084,30.448410034179688,8.044075965881348,24.956571578979492,39.518314361572266
2016-03-01,28.651126861572266,21.496597290039062,13.939870834350586,12.463433265686035,,63.08705520629883,9.896086692810059,13.141777992248535,11.634639739990234,5.830790042877197,10.784011840820312,33.51272201538086,8.841184616088867,9.014163970947266,8.986427307128906,9.067936897277832,9.18124771118164,8.981477737426758,7.9696760177612305,11.34753704071045,7.46217679977417,7.692255973815918,32.72079086303711,8.400273323059082,26.19179916381836,41.84408187866211
2016-04-01,28.44428825378418,21.751667022705078,14.090217590332031,12.659708023071289,,63.000343322753906,9.934040069580078,13.347871780395508,11.650642395019531,5.975695610046387,10.894155502319336,33.959354400634766,8.946257591247559,9.132284164428711,9.1041841506958,9.192255973815918,9.313459396362305,9.106425285339355,8.05972957611084,11.50451946258545,7.543934345245361,7.802033424377441,33.307952880859375,8.489320755004883,26.740083694458008,42.582881927490234
2016-05-01,29.271636962890625,22.028417587280273,14.324076652526855,12.954120635986328,,64.47218322753906,9.928977966308594,13.75318431854248,11.930706024169922,5.988989353179932,10.897970199584961,34.088043212890625,8.976278305053711,9.18396282196045,9.17778491973877,9.272698402404785,9.39425277709961,9.187272071838379,8.06723403930664,11.609173774719238,7.551366329193115,7.872602939605713,33.887481689453125,8.51158332824707,27.427021026611328,43.13874053955078
2016-06-01,30.30582618713379,21.84890365600586,14.290667533874512,12.823270797729492,,64.63777160644531,10.119365692138672,13.581441879272461,11.882695198059082,6.023590087890625,11.136616706848145,33.40673828125,9.05133056640625,9.235641479492188,9.207223892211914,9.287323951721191,9.401598930358887,9.194623947143555,8.187304496765137,11.624124526977539,7.662853717803955,7.880446910858154,33.58246994018555,8.600632667541504,27.206445693969727,43.5291633605957
2016-07-01,30.80223846435547,23.01132583618164,15.038886070251465,13.724090576171875,8.748233795166016,66.6944580078125,10.182136535644531,14.158498764038086,12.458826065063477,6.172649383544922,11.292306900024414,35.26140594482422,9.268982887268066,9.508796691894531,9.516339302062988,9.609089851379395,9.73946762084961,9.525364875793457,8.329889297485352,12.03526782989502,7.789204120635986,8.154888153076172,35.45070266723633,8.778729438781738,28.737869262695312,44.85014343261719
2016-08-01,31.6875,23.356454849243164,15.005263328552246,13.963558197021484,8.817870140075684,67.11542510986328,10.160102844238281,14.378328323364258,12.442822456359863,6.293789863586426,11.296189308166504,35.72317886352539,9.26147747039795,9.516180038452148,9.531059265136719,9.631027221679688,9.761503219604492,9.54741382598877,8.307374954223633,12.065167427062988,7.76690673828125,8.178412437438965,35.77096939086914,8.763888359069824,28.574010848999023,44.776817321777344
2016-09-01,32.27491760253906,23.401473999023438,15.038886070251465,14.120452880859375,8.957143783569336,67.13294982910156,10.162636756896973,14.385197639465332,12.418816566467285,6.322398662567139,11.29389762878418,36.15467071533203,9.314014434814453,9.575242042541504,9.597297668457031,9.696844100952148,9.827608108520508,9.61356258392334,8.344898223876953,12.15487289428711,7.796637535095215,8.241143226623535,36.548763275146484,8.808412551879883,28.542503356933594,44.276939392089844
